trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,19,-78.46875381902956,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.9079999999999999}",20,0,-23.003006226047397,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9059999999999999}",25,0,-154.82624064002547,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9039999999999999}",20,0,-151.08101742239955,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9019999999999999}",25,1,-112.84026737470782,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,1,-77.06173037756987,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.8979999999999999}",25,0,-117.66993169816934,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.8959999999999999}",20,9,-116.85075849308178,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
53,False,"{'a': 0.5, 'e': 0.8939999999999999}",20,0,-93.1908601893134,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8919999999999999}",20,0,-63.572668800455276,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-71.79686612366429,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.8879999999999999}",20,0,-54.55829839110678,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.8859999999999999}",25,0,-61.80300304960559,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.8839999999999999}",20,0,-16.090850567682843,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.8819999999999999}",20,0,-19.06326408391281,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-32.91712645125292,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.8779999999999999}",20,0,-78.54365457399031,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8759999999999999}",35,10,-122.83076021307446,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",1
63,False,"{'a': 0.5, 'e': 0.8739999999999999}",20,0,-63.98359340062508,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8719999999999999}",25,0,-120.37425795940882,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-178.61267481043882,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
66,False,"{'a': 0.5, 'e': 0.8679999999999999}",30,0,-84.59193358897562,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.8659999999999999}",20,0,-59.76183709585164,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.8639999999999999}",20,0,-135.13127997085178,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.8619999999999999}",20,0,-144.48479712544074,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-14.263151438635159,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.8579999999999999}",20,0,-70.47790091796779,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.8559999999999999}",30,0,-207.2001249182955,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.8539999999999999}",20,0,-113.3826016633396,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.8519999999999999}",20,0,-70.12667300289303,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,18.559420424337986,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.8479999999999999}",20,0,-70.96529797021756,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.8459999999999999}",25,0,-64.33604866100471,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.8439999999999999}",25,0,-124.48848341618074,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.8419999999999999}",30,0,-116.0567474981062,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-27.430011722143984,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.8379999999999999}",25,0,-103.42775929763113,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.8359999999999999}",20,0,-124.48270282613117,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.8339999999999999}",20,0,-118.02500726040378,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.8319999999999999}",25,0,-95.79108680317525,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.8299999999999998}",35,18,-112.41417847420972,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.8279999999999998}",20,0,-96.31020042061054,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.8259999999999998}",20,1,-63.820960975606496,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.8239999999999998}",20,0,-91.14177384817435,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.8219999999999998}",25,0,-176.70893367913487,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-63.43506995042168,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.8179999999999998}",30,0,-128.08046492205082,"{0: 23, 1: 1, 2: 1, 3: 3, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.8159999999999998}",25,0,-30.965175163648972,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.8139999999999998}",20,0,-100.85265138437953,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.8119999999999998}",20,0,-39.55092201979351,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,1,-97.51652396202076,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.8079999999999998}",20,6,-7.761814007183847,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.8059999999999998}",30,1,-34.73989265978832,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.8039999999999998}",30,0,-77.26378294026027,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.8019999999999998}",25,9,-36.97958575767858,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-71.3056080597911,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.7979999999999998}",25,13,-13.16312888645223,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.7959999999999998}",20,0,-103.15282935568544,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.7939999999999998}",20,0,-97.9297825564643,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.7919999999999998}",35,0,-96.37959419050132,"{0: 25, 1: 1, 2: 8, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.7899999999999998}",35,0,-58.12509412814294,"{0: 27, 1: 1, 2: 6, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.7879999999999998}",20,0,-51.53567812867151,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.7859999999999998}",30,0,-117.74981369585555,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
108,False,"{'a': 0.5, 'e': 0.7839999999999998}",20,0,-82.10785790640486,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.7819999999999998}",20,13,10.128887485086352,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-63.44613376633755,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.7779999999999998}",25,15,-46.64341031389731,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.7759999999999998}",20,0,-52.02365551541507,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.7739999999999998}",20,3,-34.78968697459953,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.7719999999999998}",25,0,-205.21980237784862,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
115,False,"{'a': 0.5, 'e': 0.7699999999999998}",35,10,-97.52061277505179,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.7679999999999998}",20,0,-69.34086009183534,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.7659999999999998}",20,3,-51.74030754081217,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.7639999999999998}",30,0,-216.56476731524006,"{0: 20, 1: 0, 2: 4, 3: 2, 4: 4}",0
119,False,"{'a': 0.5, 'e': 0.7619999999999998}",20,0,-70.42460846951332,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-121.19946399867223,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.7579999999999998}",25,0,-155.31983124875973,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
122,False,"{'a': 0.5, 'e': 0.7559999999999998}",20,0,-25.226304100610562,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.7539999999999998}",25,0,-38.83276093146253,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.7519999999999998}",20,8,-22.364291548376094,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,1,-105.65698643907803,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.7479999999999998}",20,0,-77.04874469128345,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.7459999999999998}",25,1,-82.69460062986305,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.7439999999999998}",25,12,-49.22258264229233,"{0: 8, 1: 2, 2: 1, 3: 2, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.7419999999999998}",30,1,-184.94131121646936,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 3}",1
130,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-115.0932007018436,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.7379999999999998}",25,15,-61.702892591422156,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.7359999999999998}",25,15,-11.072360493035543,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.7339999999999998}",25,9,-62.13697670789726,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.7319999999999998}",35,2,-57.978049417826064,"{0: 26, 1: 5, 2: 0, 3: 1, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-156.12580187406707,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.7279999999999998}",20,0,-68.67916745263493,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.7259999999999998}",20,0,-54.1970537243687,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.7239999999999998}",20,0,-101.81166060714297,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
